acute hepatitis,viral hepatitis
aids,acquired immunodeficiency syndrome
african trypanosomiasis,african sleeping sickness
aortic aneurysm,aneurysm of the aorta
atrial fibrillation and flutter,arrhythmia
bladder,urothelial
brain and central nervous system cancer,cns tumors
breast,mammary
cancer,malignancy,neoplasm,carcinoma
cardiomyopathy and myocarditis,heart muscle disease
cervical,cervix
cirrhosis,liver disease
chagas disease,american trypanosomiasis
chronic respiratory diseases,chronic lung conditions
cystic echinococcosis,hydatid cyst disease
cysticercosis,pork tapeworm infection
dementia,alzheimer's disease
diabetes,hyperglycemia
diabetes and kidney diseases,diabetic nephropathy
diarrheal,gastrointestinal
digestive,gastrointestinal
diphtheria,corynebacterium diphtheriae infection
ebola,ebola virus disease
encephalitis,brain inflammation
endocarditis,heart valve infection
esophageal,oesophagus
flu,influenza
gallbladder and biliary tract,biliary system
heart attack,myocardial infarction,coronary thrombosis
hiv,human immunodeficiency virus
hiv/aids,human immunodeficiency virus/acquired immunodeficiency syndrome
hodgkin lymphoma,hodgkin's disease
hypertensive heart disease,high blood pressure-related heart disease
intestinal nematode infections,intestinal worm infestations
invasive non-typhoidal salmonella (ints),invasive salmonella infection
ischemic heart disease,coronary artery disease
kidney,renal
larynx,laryngeal
leishmaniasis,leishmania infection
leukemia,blood cancer
lip and oral cavity cancer,oral carcinoma
liver,hepatic
lower respiratory infections,lower respiratory tract infections
malaria,plasmodium infection
malignant skin melanoma,melanoma
maternal and neonatal disorders,complications during pregnancy and childbirth
measles,rubeola
meningitis,brain and spinal cord membrane inflammation
mental,psychiatric
mesothelioma,asbestos-related cancer
neurological,nervous system
non-melanoma skin cancer,skin carcinoma
non-rheumatic valvular heart disease,valvular heart disorder
nutritional deficiencies,malnutrition
otitis media,middle ear infection
peripheral artery disease,peripheral vascular disease
pneumonia,lung infection
rabies,lyssavirus infection
rheumatic heart disease,rheumatic fever-related heart disease
schistosomiasis,bilharzia
sexually transmitted infections excluding hiv,stis
skin,dermatological,subcutaneous
stomach,gastric
stroke,cerebrovascular accident,brain attack
substance use disorders,substance abuse
tetanus,lockjaw
tracheal\, bronchus\, and lung cancer,lung carcinoma
tuberculosis,tubercle bacillus infection
typhoid and paratyphoid,enteric fever
varicella and herpes zoster,chickenpox and shingles
whooping cough,pertussis
yellow fever,flavivirus infection
zika virus,zika fever
